feature,importance
original_price,0.9719910546202879
condition_score,0.022440949640756165
duration_days,0.003318622002411256
brand_Apple,0.0011964092383552015
brand_Gucci,0.00028343331307294987
category_Tech,0.00021943269922779256
category_Fashion,0.0001482039444503076
category_Books,0.00012664348790341752
brand_Chanel,0.00010796618718166382
brand_Dell,5.7126774694045155e-05
brand_Samsung,5.077618414927292e-05
brand_Asus,3.426375104762618e-05
brand_Sony,2.4831737148016574e-05
brand_Penguin,1.0785512673045288e-07
brand_Adidas,8.917899500006562e-08
brand_Nike,8.384993365594592e-08
brand_Pearson,3.1447081531468037e-09
brand_Oxford,2.390550832828441e-09
